"unique_school_code","SI_ECE_n_sections","SI_ECE_boys","n_ECE_boys","SI_ECE_girls","n_ECE_girls","n_ECE","SI_katchi_n_sections","SI_katchi_boys","n_katchi_boys","SI_katchi_girls","n_katchi_girls","n_katchi","SI_grade1_n_sections","SI_grade1_boys","n_grade1_boys","SI_grade1_girls","n_grade1_girls","n_grade1"
38320225,0,0,0,0,0,0,1,17,16,7,8,24,1,18,16,7,9,25
32210170,1,2,2,3,3,5,0,0,20,0,23,43,0,0,7,0,8,15
31120486,0,0,0,0,0,0,0,0,10,0,13,23,0,0,2,0,12,14
31230400,0,0,0,0,0,0,1,15,15,13,13,28,1,18,18,12,12,30
38210379,0,0,0,0,0,0,1,4,4,7,7,11,1,4,4,5,5,9
38210460,0,0,0,0,0,0,1,13,13,13,13,26,1,5,5,9,9,14
38310125,0,0,0,0,0,0,1,11,11,0,0,11,1,10,10,0,0,10
31150382,0,0,0,0,0,0,1,20,24,47,43,67,1,8,8,13,13,21
32210078,0,0,0,0,0,0,1,13,15,3,7,22,1,6,6,0,0,6
32320466,0,0,0,0,2,2,0,0,6,0,7,13,0,0,5,0,4,9
31240203,0,0,0,0,0,0,1,60,61,0,0,61,1,12,11,0,0,11
38110275,0,0,0,0,0,0,1,1,12,1,12,24,1,8,8,8,8,16
32410086,1,6,6,4,4,10,1,18,17,16,16,33,1,14,13,12,13,26
36620172,1,14,0,21,0,0,1,25,17,10,20,37,1,16,19,19,16,35
31120213,0,0,0,0,0,0,1,15,14,10,11,25,1,5,4,3,4,8
32230381,0,0,0,0,0,0,1,5,5,7,7,12,1,7,7,7,7,14
31310410,0,0,0,0,0,0,0,0,5,0,4,9,0,0,5,0,3,8
32120476,0,0,0,0,0,0,1,4,4,8,8,12,1,0,0,6,6,6
31310254,0,0,0,0,0,0,0,0,11,0,8,19,0,0,7,0,9,16
31140073,1,13,13,12,12,25,2,34,34,31,31,65,2,10,10,26,26,36
32220473,0,0,0,0,0,0,1,33,33,33,0,33,1,23,23,23,0,23
32220028,1,12,9,29,25,34,1,18,20,27,25,45,1,8,2,41,20,22
32320896,0,0,0,0,0,0,1,1,17,406,17,34,1,4,4,10,10,14
32320898,0,0,7,0,4,11,0,0,5,0,10,15,0,0,6,0,5,11
31120086,0,0,0,0,0,0,1,0,0,42,41,41,1,0,0,26,26,26
31250201,0,0,0,0,0,0,1,10,11,10,9,20,1,12,9,6,10,19
32420033,1,17,3,16,6,9,0,0,15,0,9,24,1,18,18,6,6,24
31230049,0,0,0,0,0,0,0,0,9,0,42,51,0,0,7,0,21,28
36610190,0,0,0,0,0,0,1,2,2,29,29,31,1,0,0,22,22,22
38140627,0,0,0,0,0,0,0,0,7,0,15,22,0,0,9,0,12,21
32130718,0,0,0,0,0,0,1,13,14,32,31,45,1,5,5,10,10,15
38320239,0,0,0,0,0,0,1,26,26,0,0,26,1,13,13,0,0,13
